疾病名称,诊断
胃溃疡,"胃溃疡如何确诊？
很多有溃疡症状的患者并没有得胃溃疡，也有很多的胃溃疡患者临床表现并不是很典型，因此单靠症状并不能进行确诊。
在目前的临床工作中，钡餐和胃镜是确诊的最重要的两种检查方法。胃镜的准确率高，不仅可以直接对胃黏膜进行观察，还可以直视下取活检，很大程度上已经取代钡餐。除非是患者特别抵触胃镜检查或者是患者的身体条件不能承受胃镜检查，绝大部分情况下，医生都是建议胃镜检查的。
胃溃疡做胃镜是一种怎样的体验？
经常会听别人说做胃镜会非常难受，能不做就不做。但是胃镜检查是十分必要的检查，对于胃溃疡的确诊有重要意义。
一般在做胃镜检查之前，需要先喝一支利多卡因（麻醉药），喝完以后嗓子会发麻，整个检查过程中一般不会感到疼痛，最大的感觉是恶心，一直想呕吐。胃镜检查一般在 5～10 分钟可以完成，大部分人可以耐受。
当然，胃镜检查时间及过程是否顺利还要取决于行胃镜检查的大夫的水平。对于不能耐受的病人可以选择无痛胃镜，也就是先进行全身麻醉，再去行胃镜检查。其中无痛胃镜多用于需要同时进行胃镜和肠镜检查，所需时间较长的患者。
总之，胃镜检查并没有别人口中所传的那样恐怖，怀疑有食管、胃部和十二指肠病变时应及早行胃镜检查。想了解更多胃镜检查信息，可在丁香医生 App 搜索「胃镜检查」查看详解。
胃溃疡做胃镜之前为什么还要做心电图、验血等检查？
做胃镜检查时，机体会处于一种应激状态，有心脏病、贫血或者凝血功能异常的人如果行胃镜检查容易发生危险，在做胃镜检查之前先行心电图、验血等检查是对患者安全的负责。
胃溃疡和十二指肠溃疡如何大致区分？
十二指肠溃疡和胃溃疡可以根据临床表现进行大致地区分
[2]
：
十二指肠溃疡的疼痛一般是发生在两餐之间或餐前发生，也就是所谓的空腹痛，进食后就会缓解，严重的十二指肠溃疡可发生夜间痛；而胃溃疡多在餐后 1 个小时内出现，而在下次餐前缓解。
十二指肠溃疡的疼痛一般位于上腹部偏右，而胃溃疡多在上腹部正中或偏左。"
胃癌,"怎么确定得了胃癌？需要哪些检查？
通常先进行体格检查，之后检查血常规、便常规、血清检查、胃部影像学检查（X 线检查、CT 检查等）、胃镜检查和黏膜活检等
[1]
。
体格检查：检查营养状况以及有无上腹部肿块和压痛的症状。
血常规：检查有无贫血。
便常规：检查有无便血。
血清检查：检查血胃蛋白酶原、血清肿瘤标志物以及胃泌素有无异常，帮助分析病情。
影像学检查：包括 X 线钡餐、超声检查、CT 检查、磁共振检查等，可观察胃内病变情况，判断肿瘤部位以及转移程度。
胃镜检查结合胃黏膜活检：胃镜检查胃部情况时若发现可疑病变还可以进行活检，判断肿瘤是否为恶性，可确诊是否为胃癌。
胃癌会与其他疾病混淆吗？
胃癌需要与以下疾病进行鉴别
[1]
：
胃溃疡：与胃癌都会表现为上腹胀痛，也可能伴有消化道出血，通常不会出现明显消瘦和腹部肿块等症状，可通过胃镜检查鉴别，胃溃疡的边缘较规整，多呈近圆形，而胃癌可观察到肿块，溃疡边缘不规则，呈结节状隆起，底部有污秽灰白苔，触之易出血。
胃息肉：大多数息肉患者无症状，但也有少数患者表现为腹部压痛、食欲下降等症状，因此也会怀疑胃癌，可通过胃镜黏膜活检鉴别，胃息肉多有隆起且为良性病变，胃癌是恶性肿瘤。
胃部良性肿瘤：当肿瘤体积变大时，会和胃癌有相似的症状，如上腹部不适、贫血、疼痛、消化不良、黑便等，需要通过胃镜活检鉴别良恶性。"
直肠癌,"怀疑直肠癌，要做哪些检查？
大便潜血：是普查或对高危人群进行直肠癌初步筛选的最简单、经济的方法，若是检查出现阳性结果，则需进行其他检查以确诊。
直肠指诊：是诊断直肠癌最重要的方法，简便易行、安全可靠。因为直肠指诊在诊断低位直肠癌时，绝大多数都能触及到癌肿，而直肠癌中低位直肠癌占比 60％～70％
[1]
，所以千万不要因尴尬而拒绝直肠指诊。
内镜检查：主要有肛门镜和结肠镜，不但能观察肠道内的具体情况，若有异常病变，还能取下组织标本进行活检。
影像学检查：主要包括 CT 检查、MRI 检查（磁共振成像）、腔内超声检查等，对评估直肠癌的分期有重要意义。
直肠癌容易和哪些疾病混淆？
痔：二者都会有出血的情况，但痔的出血部位是肛门，常表现为手纸染血、便后滴血，出血量并不多；而直肠癌则是大便中带血，可有腹痛、腹胀的情况。一般通过直肠指诊即可鉴别二者，痔在直肠指诊时指套一般不染血，无明显肿块；直肠癌在直肠指诊时指套多会染血，多数能触及肿块。也可通过直肠镜鉴别，直肠癌患者镜下可见癌块或溃疡面，质硬，触及易出血，边缘不整。
直肠息肉：二者都会出现便血、里急后重（有排便的感觉却又排不出来）的症状，但直肠息肉的症状相较于直肠癌而言更轻微一点，可通过肠镜检查来鉴别二者。"
新型冠状病毒感染,"疑似新型冠状病毒肺炎患者出现症状去医院看什么科室？
发热门诊。
对于出现发热、乏力、咳嗽的患者，很多医院直接设有单独的发热门诊，可以直接前往。就诊前，医生会进行流行病学调查，如询问去过哪里、有没有接触过疑似感染的病人等。
如果是可疑肺炎，医生会对你采集咽拭子、痰液等标本送疾病预防控制中心或有条件的医院实验室进行新型冠状病毒检测。如果核酸检测结果为阳性，未接种新冠疫苗者新型冠状病毒特异性 IgM 和 IgG 抗体均为阳性，即确诊，确诊的患者会被隔离治疗。 没被确诊新冠肺炎的人则根据不同的疾病进行诊治，或者住院治疗，或者回家治疗等。
新型冠状病毒肺炎如何诊断？
医生一般根据流行病学史、临床表现，结合核酸检测阳性结果即可确诊为新冠病毒感染
[4]
。
流行病学史：
发病前 14 天内有病例报告社区的旅行史或居住史；
发病前 14 天内与新型冠状病毒感染的患者或无症状感染者有接触史；
发病前 14 天内曾接触过来自有病例报告社区的发热或有呼吸道症状的患者；
聚集性发病（2 周内在小范围如家庭、办公室、学校、班级等场所，出现 2 例及以上发热和/或呼吸道症状的病例）。
临床表现：
发热和（或）呼吸道症状等新冠肺炎相关临床表现；
具有上述新冠肺炎影像学特征；
发病早期白细胞总数正常或降低，淋巴细胞计数正常或减少。
实验室检查：
发病早期外周血白细胞总数正常或减少，可见淋巴细胞计数减少，部分患者可出现肝酶、乳酸脱氢酶、肌酶、肌红蛋白、 肌钙蛋白和铁蛋白增高。多数患者 C 反应蛋白（CRP）和血沉升高，降钙素原正常。重型、危重型患者可见 D-二聚体升高、外周血淋巴细胞进行性减少，炎症因子升高。
病原学检查：
在鼻咽拭子、痰和其他下呼吸道分泌物、血液、粪便、尿液等标本中可检测出新型冠状病毒核酸。检测下呼吸道标本（痰或气道抽取物）更加准确。
血清学检测：
新型冠状病毒特异性 IgM 抗体、IgG 抗体阳性，发病 1 周内阳性率均较低。
胸部影像学特征：
早期呈现多发小斑片影及间质改变，以肺外带明显。进而发展为双肺多发磨玻璃影、浸润影，严重者可出现肺实变，胸腔积液少见
[4]
。
新型冠状病毒肺炎出现后，作为医护人员该如何应对？
由于新型冠状病毒性肺炎部分病人无发热等明显症状，必须充分提高对纳差、乏力、肌肉酸痛（包括轻微酸痛）和精神稍差患者的警惕，及时进行相关排查。
应更加详细地对患者的病史进行询问：特别是对于有疑诊或确诊患者的接触史、近两周内是否出现发热的病史。
对此类「不典型」病例，及时进行血常规、呼吸道病原学检测，有条件情况下行胸部 CT 的检查，同时应与患者及家属进行充分的沟通。
若提示异常，应进一步完善冠状病毒的检测。
特别强调不建议进行胸片的检查以避免漏诊难以发现的早期病变。
新型冠状病毒肺炎的疑似病例和确诊病例如何区分？
疑似病例： 结合流行病学史和临床表现综合分析，有流行病学史中的任何一条，且符合临床表现中任意两条。 无明确流行病学史的，符合临床表现中任意两条，同时新型冠状病毒特异性 IgM 抗体阳性；或符合临床表现中的三条。
确诊病例： 疑似病例同时具备以下病原学或血清学证据之一者：
实时荧光 RT-PCR 检测新型冠状病毒核酸阳性；
病毒基因测序，与已知的新型冠状病毒高度同源；
新型冠状病毒特异性 IgM 抗体和 IgG 抗体阳性；
新型冠状病毒特异性 IgG 抗体由阴性转为阳性或恢复期 IgG 抗体滴度较急性期呈四倍及以上升高
[4]
。
新型冠状病毒肺炎危重病例怎么诊断？
有以下指标变化应警惕病情恶化：
成人
低氧血症或呼吸窘迫进行性加重；
组织氧合指标恶化或乳酸进行性升高；
外周血淋巴细胞计数进行性降低或外周血炎症标记物 如 IL-6、CRP、铁蛋白等进行性上升；
D-二聚体等凝血功能相关指标明显升高；
胸部影像学显示肺部病变明显进展。
儿童
呼吸频率增快；
精神反应差、嗜睡；
乳酸进行性升高；
CRP、PCT、铁蛋白等炎症标记物明显升高；
影像学显示双侧或多肺叶浸润、胸腔积液或短期内病变快速进展；
有基础疾病（先天性心脏病、支气管肺发育不良、呼吸道畸形、异常血红蛋白、重度营养不良等）、有免疫缺陷或低下（长期使用免疫抑制剂）和新生儿
[4]
。
新型冠状病毒肺炎潜伏期能查出来吗？
可以。
潜伏期可以通过对患者样本进行核酸检测，可以早期发现新型冠状病毒感染。
新型冠状病毒肺炎患者无发烧、咳嗽等典型症状，如何不漏诊？
对近期内有疾病流行区旅居史、新冠确诊病例接触史的人群应高度警惕「不典型」症状。包括：
以消化系统症状为首发表现：如轻度纳差、乏力、精神差、恶心呕吐、腹泻等；
以神经系统症状为首发表现：如头痛；
以心血管系统症状为首发表现：如心慌、胸闷等；
以眼科症状为首发表现：如结膜炎；
仅有轻度四肢或腰背部肌肉酸痛
[4]
。
上述以非呼吸系统为首发表现的患者，易至相关科室就诊，如消化内科、神经内科、心血管内科等，容易造成误诊和漏诊。
新型冠状病毒肺炎需要和哪些疾病进行鉴别？
根据国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案（试行第九版）》
新型冠状病毒肺炎的鉴别诊断，应考虑
[4]
：
与其他病毒引起的上呼吸道感染相鉴别。
与流感病毒、腺病毒、呼吸道合胞病毒等其他已知病毒性肺炎及肺炎支原体感染鉴别，尤其是对疑似病例要尽可能采取快速抗原检测、多重 PCR 核酸检测等方法，对常见呼吸道病原体进行检测。
与非感染性疾病，如血管炎、皮肌炎和机化性肺炎等鉴别。
儿童患者出现皮疹、黏膜损害时，要鉴别川崎病。
有新冠肺炎患者密切接触的人，即便常见呼吸道病原检测阳性，也要及时进行新型冠状病毒病原学检测。
新型冠状病毒与 SARS 病毒的区别是什么？
新型冠状病毒与重症急性呼吸综合征病毒（SARS 病毒）、中东呼吸综合征病毒（MERS 病毒）同属于冠状病毒这个大家族，是「兄弟姐妹」，基因序列有很多一样的地方，但不完全相同。传染性与 SARS 相比有待确定，致死率按照目前来看较 SARS 较低，但是不排除病毒变异的可能。
新型冠状病毒肺炎与流感、普通感冒症状有什么区别？
新型冠状病毒肺炎
：以发热、乏力、干咳、味觉及嗅觉改变等为主要表现，少数患者伴有鼻塞、流涕、腹泻等上呼吸道和消化道症状。可伴有肺炎，但早期肺炎可能不发热，仅有畏寒和呼吸道感染症状，但 CT 会显示有肺炎现象。
重症病例多在 1 周后出现呼吸困难或 / 和低氧血症，严重者快速进展为急性呼吸窘迫综合征、脓毒性休克、难以纠正的代谢性酸中毒和出凝血功能障碍。
值得注意的是重症、危重症患者病程中可为中低热，甚至无明显发热。
轻症患者仅表现为低热、轻微乏力等，无肺炎表现，多在 1 周后恢复。少数感染者无明显临床症状、仅检测阳性。从目前收治的病例情况看，多数患者预后良好，儿童病例相对较轻，少数患者病情危重。部分儿童及新生儿病例症状可不典型，表现为呕吐、腹泻等消化道症状或仅表现为精神弱、呼吸急促。死亡病例多见于老年人和慢性基础疾病者。
流感
：主要表现为发热、头痛、肌肉痛和全身不适，体温可达 39～40 ℃，可有畏寒、寒战，多伴全身肌肉关节酸痛、乏力、食欲减退等全身症状，常有咽喉痛、干咳，可有鼻塞、流涕、胸骨后不适等。
颜面潮红，眼结膜充血。部分以呕吐、腹痛、腹泻为特点，常见于感染乙型流感的儿童。无并发症者病程呈自限性，多余发病 3～4 天后体温恢复正常，全身症状好转，但咳嗽、体力恢复常需 1～2 周。
肺炎是最常见的并发症，其他并发症有神经系统损伤、心肌损害、肌炎、横纹肌溶解综合征和脓毒性休克等。
普通感冒
：以鼻塞、流鼻涕为主要表现，多数患者症状较轻，一般不引起肺炎症状。"
艾滋病,"怀疑自己得了艾滋病，该怎么办？
首先要确定自己为什么怀疑自己得了艾滋病。问问自己以下几个问题：是否有过危险的性行为？是否吸毒？是否有共用注射器？是否输过没有保障的血液制品？配偶是否有艾滋病？是否共用剃须刀、纹身器具等？
确定有以上接触史，或者就是想确定自己是否患艾滋病，可以前往正规医疗机构，如疾控中心、县级以上医院去检测人免疫缺陷病毒（HIV）抗体，千万不要前往未授权的机构或小诊所去检测。一般正规医院的门诊或者皮肤性病科即可检测。
艾滋病或者人免疫缺陷病毒感染需要做哪些检查？
主要是做抽血检查人免疫缺陷病毒（HIV）抗体，若确诊 HIV 感染还需进行其他检测
[2]
：
HIV 抗体检测：包括筛查试验和补充试验。如筛查试验阴性，说明未被 HIV 感染，或被 HIV 感染但还处于窗口期（通常为 HIV 感染后 2～6 周左右，和检测的方法及敏感度有关）；如筛查试验阳性，需进行重复检测，并送疾控中心做确证试验确诊，甚至补充试验。
HIV 核酸检测：感染 HIV 后，病毒在体内快速复制，血浆中可定量检测出病毒 RNA 的量。
CD4+ T 淋巴细胞检测：人体感染 HIV 后，CD4+ T 淋巴细胞越来越少，CD4+/CD8+ T 淋巴细胞比值倒置，提示细胞免疫功能受损。
HIV 耐药检测：一般在抗病毒治疗不理想，需要改变治疗方案时进行，有条件也可在治疗前检测，有助于选择合适的抗病毒药物
[1]
。
此外，若确诊为艾滋病，往往还需要进行 X 线、组织活检、细菌培养、丙肝抗体、乙肝两对半、结核相关等检查，以确诊恶性肿瘤或各种机会性感染
[1]
。
被确诊为艾滋病时，任何人都会感到难以接受。此刻家人朋友一定要给予患者足够的支持与陪伴，和他们一起应对，做艾滋病防治相关知识的科普，帮助他们调整心态，尽快投入到治疗当中。
艾滋病做检查时的「窗口期」是什么？
人免疫缺陷病毒（HIV）抗体是诊断艾滋病的金标准，但是 HIV 抗体是在感染后数周才出现，这数周就是我们平常说的「窗口期」，即血清病毒核酸（HIV RNA）阳性，但是抗体阴性。
所以刚刚感染时可能抗体还是阴性，所以如果是怀疑自己有 HIV 接触史，可能要不同时间多次检查。
艾滋病容易和哪些疾病混淆？
艾滋病应该与原发性或继发性 CD4+ T 淋巴细胞减少症相鉴别。
这两种病都是因为 CD4+ T 淋巴细胞减少而容易出现与艾滋病类似的严重机会性感染和肿瘤，但是均无 HIV 接触史，可通过 HIV 抗体检测来鉴别，CD4+ T 淋巴细胞减少症抗体检测呈阴性，而艾滋病的抗体检测结果为阳性。"
狂犬病,"狂犬病暴露怎样分级？
建议及时就诊，由专业的医生判断咬伤轻重。
根据狂犬病预防控制技术指南 2016 版，按照暴露性质和严重程度将狂犬病暴露分为三级：
Ⅰ级暴露，属于正常接触，不需要处理：
接触、喂养动物；
完好的皮肤被舔；
完好的皮肤接触被狂犬病感染的动物或人的分泌物或排泄物（如粪便）等。
Ⅱ 级暴露，应立即处理伤口，需要按照程序接种狂犬疫苗：
裸露在外的皮肤被咬出现破损；
没有出血的轻微抓伤或者擦伤，首先用肉眼仔细观察暴露处皮肤有无破损，当肉眼难以判断时，可用酒精擦拭暴露处，如有疼痛感，则表明皮肤存在破损。
Ⅲ 级暴露，应立即处理伤口，需要接种狂犬病疫苗，既往未接种过狂犬病疫苗或未全程接种过狂犬病疫苗者，还需要同时接种狂犬病人免疫球蛋白：
有单处或多处贯穿皮肤的咬伤或抓伤，「贯穿」表示至少已伤及真皮层和血管，临床表现为肉眼可见出血或皮下组织；
破损皮肤被舔舐，应注意皮肤皲裂、抓挠等各种原因导致的微小皮肤破损；粘膜被动物唾液污染（如被舔舐）；
暴露于蝙蝠。即人体与蝙蝠之间发生接触时要考虑进行暴露后预防，除非暴露者排除咬伤、抓伤或黏膜的暴露；
此外，发生在头、面、颈、手和外生殖器部位的咬伤，也属于  Ⅲ  级暴露
[2,4]
。
狂犬病发病后，做普通检查能发现什么异常吗？
早期很难发现具有特征性的异常。狂犬病发病期临床检查：
血常规：可发现白细胞总数轻至中度增多，中性粒细胞占比通常在 80% 以上
[1]
。
尿常规：通常有轻度蛋白尿，偶有透明管型
[1]
。
腰椎穿刺：狂犬病发作后，会出现一系列脑膜炎或脑炎的症状和体征，所以医生常会进行腰椎穿刺检查，抽取脑脊液，可见淋巴细胞增多、蛋白增多、葡萄糖正常。
影像学检查：早期脑 CT 无异常，晚期可出现脑水肿，颅脑磁共振可能显示海马、下丘脑、脑干等区域 T2 信号增强。
狂犬病多是由被犬咬伤导致的，那么被犬（狂犬）咬伤后，能不能立即检验是否已遭狂犬病毒感染？
不能。
目前的检测方法，只能在病毒在外周神经和其他组织大量繁殖后才能检测到，而这时中枢神经系统已经受到损伤。目前的检测方法是取得患者的咬伤部位皮肤、唾液、脑脊液等多处活组织样本，分离出狂犬病毒或检测到病毒抗原
[3]
。
医生在诊断狂犬病时并不是一定要检测出狂犬病毒，通过被动物咬伤的病史、发病后的典型表现即可作出诊断。
被咬伤后应该及时就诊，不是为了检出狂犬病病毒，而是进行有效的伤口处理和疫苗接种，必要时接种狂犬病人免疫球蛋白或抗狂犬病血清，避免狂犬病发作。"
乙型肝炎,"乙型肝炎需要做哪些检查来诊断？
乙肝五项检查：俗称乙肝两对半检查，具体检查项目如下
[3]
。
乙型肝炎表面抗原（HBsAg）：是感染乙肝的标志， 一般在感染后的 2～6 个月在血清中表达出来。
乙型肝炎表面抗体（抗-HBs）：在血液中出现，表示具有对乙肝病毒的特异的免疫力。
乙型肝炎 e 抗原（HBeAg）：是乙肝病毒在人体内活跃复制的标志，表明此时具有强传染性。
乙型肝炎 e 抗体（抗-HBe）：是病毒复制受到抑制的标志，当其呈阳性时，一般表明乙肝病毒复制低、传染性减弱。
乙型肝炎核心抗体（抗-HBc）：只要感染过乙肝病毒，无论病毒是否被清除，此抗体检测多为阳性。
HBV DNA 检查：主要用于评估乙肝病毒感染者病毒复制水平、传染性大小，是抗病毒治疗适应证选择及疗效判断的重要指标
[3]
。
肝功能检查：包括谷丙转氨酶（ALT） 、谷草转氨酶（AST） 、胆红素、甲胎蛋白、凝血功能相关等检查，能间接反映肝细胞合成、代谢、分解功能，以及肝细胞的炎症程度等
[3]
。
血液检查：肝功能异常时血小板、红细胞、白细胞等水平均可能出现异常，进行血常规检查有助于后续诊断。
影像学检查：包括腹部超声、CT、MRI。乙型肝炎的病人进行影像学检查的目的，主要是了解肝脏的大小、形态，门静脉内径，脾的大小，了解有没有肝硬化、肝脏肿瘤等，对于检测和诊断有重要的意义
[3]
。
乙肝是如何判断其传染性高低的？
慢性乙型肝炎和乙肝病毒携带者的传染性高低主要取决于血液中的乙肝病毒 DNA 水平，水平高时传染性也高。
乙型肝炎检查两对半显示抗-HBs 阳性，说明什么？
乙肝两对半中抗-HBs（HBsAb）为保护性抗体，其阳性表示对乙肝病毒有免疫力，见于乙型肝炎康复者及接种乙型肝炎疫苗者。
乙型肝炎检查中的大三阳和小三阳有什么意义？
大三阳
：指的是乙肝五项检查中表面抗原、e 抗原、核心抗体这三项指标阳性。说明了病毒正在体内正处于活跃地复制、繁殖，患者传染性较强，也很有可能发展为慢性乙肝。大三阳患者一般不会出现明显的临床症状，只有少数患者会出现肝区不适、食欲不振、乏力等症状。
小三阳
：指的是乙肝五项检查中表面抗原、e 抗体、核心抗体这三项指标阳性。此时患者的传染性相对较弱。通常是由大三阳转变而来，也要经常监测病情，必要时要及时进行抗病毒治疗。
大三阳一定比小三阳严重吗？
不一定。
大三阳和小三阳只表示病毒复制的情况，并不直接反应肝脏损害的程度。要了解肝炎病情是否严重，还应进行肝功能检查、影像学检查、肝脏穿刺活检、凝血功能等综合判定。"
不明原因发热,"不明原因发热如何诊断？
不明原因发热的诊断多为一种排除性诊断，多需排除可能引起发热的其他原因后，仍无法解释的发热，方可诊断为「不明原因发热」，必要时可行诊断性治疗以协助诊断。
首先，医生应尽可能详细的了解病史、家族史、接触史
：
家族性发热要小心自身炎症性类疾病，比如家族性地中海热、高免疫球蛋白 D 综合征、Blau 综合征等；
海洋水、池水接触则小心非结核性分支杆菌；牛羊接触史提示布鲁斯菌；蜱虫叮咬史提示 Q 热、莱姆病等。
其次，医生应全面系统的体格检查
：
切忌漏诊一些细节：眼睑、甲床、颞动脉、口腔、乳突 / 副鼻窦、心脏杂音、外阴及肛门。像皮肤脓疱、男性睾丸触诊、肛门指检就容易漏掉。
皮肤的瘀斑瘀点提示病毒感染、感染性心内膜炎；皮肤感染灶则提示奴卡菌；睾丸病变往往提示布鲁斯菌、结节性动脉炎。肛门病变提示炎症性肠病。
再次，病人的前后对比非常重要
：
比如心脏杂音的前后对比后差异可提示感染性心内膜炎。有时甚至比经胸壁心脏超声都可靠。
肝脾的进行性增大往往提示特定感染、淋巴瘤或白血病等。
最后，应选择正确的检验、检查思路
：
不建议从一开始大撒网地检验。应根据病史、体征等针对性常规检验、检查。比如常见病原学检查、血培养、降钙素原、经胸壁心脏超声、抗核抗体谱等。
如果常规检查未能明确，则可以进一步检查。比如少见病原体检验、甲状腺功能、骨髓细胞学、淋巴结活检、经食管心脏超声。
再进一步的考虑 PET-CT、PET-MRI 等等。"
带状疱疹,"带状疱疹和水痘的区别是什么？
水痘和带状疱疹是两个既有联系又有区别的疾病。
说二者有联系，是因为它们感染的是相同的一个病毒，即水痘-带状疱疹病毒，治疗上选择抗病毒药物的原则也一样。
但二者又是两个不同的疾病，水痘-带状疱疹病毒初次感染发的病为水痘，潜伏的病毒激活后发展为带状疱疹；它们的传染性不一样，水痘传染性很强，带状疱疹比水痘的传染性弱；再者，它们的表现不一样，水痘患者不会像带状疱疹患者那样有剧烈的神经痛。
带状疱疹该如何诊断？
医生一般根据：
患者具有容易发病的因素（例如老年、长期应用激素类药物、疲劳、换季、情绪波动、生病等免疫力降低的情况）；
临床表现：成片发红的皮肤上出现成群的水疱。水疱沿一侧周围神经呈带状分布，不超过中线。一般伴有剧烈的疼痛。
带状疱疹应该与哪些疾病鉴别？
带状疱疹有时候也会比较难诊断，可能需要与下列这些疾病相鉴别。
水痘：这两种疾病都会出现水疱，但水痘的水疱可分布于全身，而带状疱疹的水疱多分布于身体的一侧；且水痘患者不会出现剧烈的疼痛感，而带状疱疹患者会伴随有剧烈的神经痛。
单纯疱疹：这两种疾病都会出现庖疹，但单纯疱疹好发于皮肤与黏膜交接处（例如嘴角、唇周），分布没有一定规律，水疱较小、易破，疼痛比较轻，容易复发。
在带状疱疹发病前的一段时间（前驱期）或者是无疹型带状疱疹（患带状疱疹，但没有可见的皮疹）中，神经痛明显的话容易被误诊为肋间神经痛、胸膜炎及急性阑尾炎等内部疾病，这些疾病的鉴别需要医生详细询问病史并做相关疾病的检查来鉴别。"
尖锐湿疣,"尖锐湿疣如何诊断？
大多数情况下，熟悉尖锐湿疣临床表现的医生可在光线充足下，凭肉眼根据症状和体征直接临床诊断。如果皮疹长得并不典型，肉眼难以判断，可进行辅助检查或实验室检查。
常用的辅助检查包括：醋酸白试验、皮肤镜检查、阴道窥器、阴道镜、肛门镜、直肠镜、尿道镜，这些辅助器械可以放大疣状物，方便医生进行鉴别诊断。
醋酸白试验：使用低浓度的醋酸涂在皮疹上，等 3～5 分钟后观察是否出现变白。当患者症状不典型时，使用此种方法可以有效与其他皮肤疾病进行鉴别
[1]
。但是检查过程中需暴露患者隐私部位，还可能会引起疼痛，需要患者高度配合。
常用的实验室检查包括：组织病理活检、核酸扩增试验
[1]
，活检一般是削刮可疑疣体或在较大的可疑疣体上取样来进行活检，组织病理学可用于明确诊断。
尖锐湿疣需要和哪些疾病鉴别？
与良性丘疹性皮肤病鉴别，如假性湿疣等
[6]
。
表1：尖锐湿疣与假性湿疣鉴别
假性湿疣
尖锐湿疣
赘生物
排列规则、不改变大小、鱼子状
排列不规则、可增大、菜花状
赘生物颜色
白色或淡红色的光滑丘疹
颜色可以从粉红至深红色、灰白色、乃至棕黑色
醋酸白试验
阴性
阳性
与性传播疾病鉴别，如梅毒的扁平湿疣（二期梅毒疹）
[6]
。
表2：尖锐湿疣与梅毒扁平湿疣鉴别
梅毒的扁平湿疣
尖锐湿疣
皮疹
表面糜烂湿润或轻度结痂
是菜花状的赘生物
梅毒血清实验
阳性
阴性"
扁平疣,"扁平疣需要做哪些检查？
扁平疣一般不需要做额外的检查，主要根据病史和皮疹的临床特点诊断。如果诊断有困难，可以做活检手术和病理检查，还可以做病毒 DNA 检查。
扁平疣容易和哪些疾病混淆？怎么区分？
扁平疣与扁平苔藓的外观相似，需要进行鉴别：
发病年龄：前者多发生于儿童及青少年，后者很少发生于儿童。
症状：前者可由轻度瘙痒或无明显自觉症状。后者瘙痒的症状明显，通常伴有黏膜损害
[2]
。"
