疾病名称,症状
冠心病,"冠心病一般有哪些表现？
冠状动脉出现病变的早期没有什么明显症状，特别是女性，因此容易被忽略，延误病情。
当下述症状出现时提示你可能已经患上冠心病了，包括：
疼痛，特别是胸骨中上段后方的疼痛，就感觉像被人往胸口重重地打了一拳，疼痛可能逐渐加剧甚至让你喘不过气来。这种疼痛还能放射到上臂（特别是左上臂）、肩部、背部、脖子、下巴、牙齿或上腹部等部位。这种以胸骨后压榨样疼痛为主要表现的疼痛，就是心绞痛。
上腹痛、恶心、呕吐、打嗝或烧心等容易和胃肠道疾病混淆的症状。
频繁发作的心跳加速或心跳不齐，伴有头晕目眩、大汗淋漓等。
除此之外，慢性心肌缺血综合征患者还可能出现易紧张、焦虑、易疲劳、失眠等症状。
冠心病一定会出现心绞痛吗？
不是所有的冠心病患者都会出现心绞痛。一些病患（尤其是隐匿性冠心病患者）在心脏病发作时症状轻微甚至可以完全没有症状
[3]
。
胸口疼痛也并不一定就是冠心病导致，心包炎、心肌病或其他心源性疾病，以及肺部、消化道、神经肌肉甚至精神性疾病也可能出现胸痛等类似临床症状。
尽管难以区分，对于那些患冠心病风险较高的人群（如 40 岁以上成人，后文会进行详细阐述），记住一些典型症状可以帮助病患保持警惕，一旦病发可以尽快寻求帮助，为后续抢救赢得时间。
心脏病发作是怎么回事？
我们常在影视剧作品中看到有人捂着胸口面目狰狞地大喊「我心脏病发作了」，这里的「心脏病发作」，英文为 Heart Attack，更多指的是心肌梗死，简称心梗，是一种急性发作的严重冠心病。
心梗病患的冠状动脉病变往往已经存在很长一段时间，受影响的冠脉分支管腔在病发时严重堵塞或者完全封闭，对应心肌血供急剧减少甚至中断，时间长了会导致心肌坏死并伴有剧烈胸痛等症状，不及时抢救病患很容易发生心源性猝死
[2]
。
为什么心肌梗死很危险？
心梗直接导致部分心肌的坏死，进而影响心脏正常的结构和功能，心肌坏死部位以及范围的不同对心脏功能的影响程度亦不相同。
比如：大部分心梗患者起病后心脏跳动会受明显影响，心房和心室的收缩舒张不再协调，心脏不能有效地把血液泵出，进而发生「心力衰竭（即心衰）」。心排血量显著下降就会导致「低血压」甚至「休克」。
心梗引起的「恶性心律失常」是急性心梗患者 24 小时内最重要的死因，往往是猝死。心肌坏死范围较大时还有可能发生「心脏破裂」等严重的并发症，迅速导致循环衰竭而猝死。
在过去医疗条件差的情况下，心梗患者急性期病死率可达 30%。目前，心梗患者入院后可及时接受监护治疗后，病死率降至 15%；若接受溶栓治疗，病死率可降至 8%；若在住院 90 min 内接受介入治疗，死亡率还可进一步降至 4% 左右
[2]
。故一旦发觉心梗迹象，必须立即拨打 120 急救电话，至医院接受有效治疗。具体的治疗方法可参见治疗版块。
冠心病还有哪些并发症？
栓塞：由附着于左心室壁的血栓脱落引起的，可损害脑、肾、四肢等部位，分别引起口角歪斜、言语不清、腰痛、血尿、四肢疼痛及麻木等
[2]
。
心肌梗死后综合征：可能由自身免疫反应引起，患者常表现为胸痛、咳嗽、呼吸困难、发热等
[2]
。"
心肌炎,"心肌炎患者会有哪些症状表现？
心肌炎患者的临床表现差异较大，轻症可无任何症状，也可为亚临床表现，如发热、乏力、肌肉酸痛等病毒感染的表现；也可表现为乏力、胸痛、心衰、心源性休克、心律失常和猝死等
[4,6]
；临床表现不同与疾病组织学严重程度、病因及就诊时疾病阶段相关。
心肌炎多见于哪些情况后？
感冒后 1～3 周时间内出现心跳加速、早搏（感觉心跳停了一下又接着跳）、心前区闷痛、气促、活动后疲乏无力等表现；
无明显诱因，特别是之前没有心脏病史的年轻人，突然出现心前区不适，这种不适之前从没有出现过；
呼吸道感染 2 周仍未治愈，特别是患病期间有发热表现者；
发现儿童连续几天萎靡不振，不爱吃饭，特别是 1～2 周前得过感冒的小朋友要警惕心肌炎的发生；
老年人感冒后出现与既往心脏病表现不一致的心脏症状。
心肌炎的常见人群有哪些？
儿童：儿童的免疫力尚未成熟，容易受到病毒的攻击，所以更易患病
[1,2]
。
抵抗力低下者：如长期疲劳、睡眠不足、精神压力大的人，或是患有自身免疫性疾病，比如艾滋病等人群。机体抵抗病毒的能力较弱，所以更容易患病。
心肌炎最常见的类型是什么？
病毒性心肌炎是所有心肌炎中最常见的类型，大家常说的心肌炎一般也指病毒性心肌炎。目前，可导致本病的病毒大约有 30 余种，以柯萨奇病毒最常见。
细菌和病毒相比，细菌好比暴徒，虽然凶狠但容易识别，一般情况下在它对心脏构成威胁之前已经被消灭了。
而病毒如同奸细，虽然攻击力不强，但隐蔽性强，针对人体特定的组织细胞发起攻击，还会引起机体一系列的连锁反应，危害巨大。
心肌炎可能会导致哪些并发症？
慢性心肌病：心肌炎症未能得到很好地控制，可导致心肌细胞发生病变引起，常表现为呼吸困难和活动耐量下降等。
充血性心力衰竭：因心肌炎症导致心肌细胞变性、坏死引起心脏收缩或舒张功能障碍，影响组织供血不足，从而导致充血性心力衰竭，常表现为呼吸急促、发绀、乏力、心率增快，脉搏细弱等症状
[2,6]
。
病毒性心肌炎可分哪几个类型？
病毒性心肌炎可分为以下 5 种类型：
亚临床型：病毒感染后无自觉症状，仅有心电图早搏改变或类似于一过性心肌缺血的心电图表现，数周后心电图改变消失或遗留心律失常；
轻症自限型：病毒感染 1～3 周后出现轻度心前区不适、心慌、心动过速，无心脏扩大及心衰表现，经治疗可逐渐恢复；
隐匿进展型：病毒感染后有一过性心肌炎表现，数年后心脏逐渐扩大，表现为扩张型心肌病；
急性加重型：病毒感染后 1～2 周内出现胸痛、心跳及呼吸速度变快、双下肢水肿、血压显著下降等心功能不全表现，死亡率较高；
猝死型：多于活动中猝死，死前无心脏病表现，尸检证实急性病毒性心肌炎。
为什么隐匿进展型心肌炎易导致扩张型心肌病？
亚临床型、轻症自限型心肌炎通常不用特殊治疗亦可痊愈，而急性加重型心肌炎虽然病情凶险，但一般均能够及时医院就诊，经过系统诊治后也能痊愈。
反倒是隐匿进展型的心肌炎患者由于症状不典型，心肌损害长期存在，又没有引起足够的重视，缺少系统治疗，最终导致心脏不可逆性扩大，产生扩心病直至心力衰竭。
心肌炎患者有很大一部分在最开始的表现是消化道症状，原因是什么？
在临床上，可以见到很多心肌炎患者从消化科转到心内科。他们发病时均认为是胃肠道疾病，表现为腹痛腹胀等，在经过系统检查后才发现是心脏的问题。
这是因为内脏神经定位经常不准确，如心绞痛可表现为胃痛、阑尾炎经常是整个腹部痛一遍才转移到右下腹部，这时为患者及时进行心电图及心肌酶检查就非常重要了。
如有心电图改变、心肌酶升高，近段时间有感冒病史，需要重点考虑心肌炎可能。"
先天性心脏病,"先天性心脏病为什么会导致心衰？
心力衰竭是先心病最重要的死亡原因
。
由于先天性的缺陷造成了某个心脏部位的长期超负荷工作就会产生心衰，如室间隔缺损时，左心室压力高，右心室压力低，左心室的血就会进入右心室，造成右心室高负荷运转，导致右心室功能衰竭。
这与让一个人长期高负荷工作的道理一样，可能因为过量工作造成过劳死。
先天性心脏病为什么会嘴唇发紫？
先天性心脏病患者的口唇或指甲等可能会变成青紫色，在医学上叫做发绀, 我们经常看到慢性肺病的人嘴唇紫，这是因为由于肺病导致气体交换障碍，造成动脉血中氧气含量低所致。
而先心病患者是由于解剖上的缺陷导致了静脉血（氧含量低）混入了动脉血（氧含量高）中，造成了动脉血中血氧含量降低，从而出现的发绀症状. 这种情况多提示病情加重甚至不可治疗，所以先心病患者需要在出现发绀之前及时进行治疗。
先天性心脏病出现发绀多提示病情加重甚至不可逆的原因是什么？
举室间隔缺损的例子, 左心室压力高，右心室压力低，左心室的血就会进入右心室（医学上称为「左向右分流」），造成右心室高负荷运转，导致右心室功能衰竭，不能将血液及时泵出。
右心室血液量多，压力持续增高并高于左心室，就会通过室间隔缺损部位进入左心室，那左心室的动脉血就混入了右心室的静脉血（医学上称为「右向左分流」），从而出现发绀。
这时患者的肺动脉压力已明显升高，右心功能已经趋于恶化，原本的缺损部位反而成为了右心室的泄洪通道，一旦封堵反而加速死亡，到了这个时候患者就已经丧失了宝贵的手术治疗机会。
先天性心脏病患儿哭闹时出现口唇发绀的原因是什么？
小儿哭闹时由于肺部压力升高，右心室向肺部射血阻力升高，即使没有出现功能衰竭也会出现短暂的右心室压力高于左心室的情况。
这时因为存在室间隔缺损等缺陷，造成短暂的右心室静脉血混入左心室动脉血中的情况，出现短暂的发绀。患儿停止哭闹时，发绀消失。这时往往是给家长的一个重要提示：自己的孩子是不是得了先心病？需要立即到门诊就诊。
先天性心脏病有哪些症状表现？
除上题中提到的患儿在哭闹时出现口唇发绀之外，经常感冒、生长发育迟缓、喜欢蹲踞（玩耍过程中突然蹲下，几分钟后再度站起继续玩耍，这种情况反复出现）等，都要留意患先心病的可能。
平时发现患儿得了先心病最常见的原因是心脏杂音：患儿可能因为呼吸道感染或其它疾病就诊时，大夫听诊发现心脏杂音，这时切不可大意，宁可选择做个心脏彩超排除一下，也不能抱着侥幸的心理任由发展，错过最佳的治疗时机。
先天性心脏病中，什么是艾森曼格综合征？
艾森曼格综合征是房间隔缺损、室间隔缺损、动脉导管未闭等先心病中，由原来的左向右分流，由于进行性肺动脉压升高导致右向左分流，皮肤粘膜从无青紫发展至青紫时，即称为艾森曼格综合征。
一旦出现艾森曼格综合征，就意味着丧失了先心病手术治疗的机会，因为一旦封堵，就会把右向左分流的通道堵住，心肺功能将急剧恶化，加速死亡。"
心律失常,"心律失常有哪些表现形式？
心律失常的表现形式包括心跳加快（心率超过 100 次/分）、心跳过慢（心率低于 60 次/分）、传导阻滞、心脏停跳、心跳无规律。
其中，期前收缩（早搏）是指早于基础心律而提前出现的异位搏动，即心脏提前跳动。
心律失常有哪些症状？
心律失常的表现最常见的就是心悸或者心慌，感觉心跳很快或者心跳混乱，有患者可能会有漏跳感（心脏少跳了一下）、失重感或者仅仅是乏力。
严重的心律失常时，患者还会感到头晕、胸痛、眼前发黑、突然意识丧失甚至猝死。
除了心脏相关症状外，心房颤动还会出现栓塞的症状，尤其是脑梗死症状，例如肢体麻木、偏瘫、面瘫、恶心、呕吐、大小便失禁等。"
急性心肌梗死,"急性心肌梗死有什么典型症状？
胸痛。
多数人表现心前区、胸骨后非常剧烈地疼痛超过 30 分钟，是那种持续的一直痛的感觉，换什么姿势都痛，好像有绳子把心脏勒紧了似的，有的人甚至有种自己马上快要不行了的感觉（濒死感），含服硝酸甘油也无法缓解
[3]
。
那种像针扎一下的胸痛，马上就过去了，一会又来一下的痛大多不是心梗。
急性心肌梗死有哪些不太典型的症状？
除了胸痛外，可能会有胸闷，心前区堵塞感。
很多人会伴有胳膊（特别是左胳膊）或后背像放电一样的疼痛。
有的人会有恶心想吐却吐不出来的感觉。
大多数人会伴有大汗，脸色蜡黄或苍白
[3]
。
严重的甚至意识会丧失。
急性心肌梗死所有患者都有胸痛等典型表现吗？
不是。
就像现在很多糖尿病人根本没有三多（吃的多、喝的多、尿的多）症状，急性心梗患者中很大一部分没有典型症状，可以表现为：
胸闷
。感觉像压了块石头，总想长出气。
胃部不适
。自己怀疑是不是吃坏了东西，但和以往吃坏东西不一样，这种胃部不适持续加重且范围越来越大。
特别劳累
。很多人饭后什么也没干但感觉累的不行，稍微一动就冒虚汗，也要警惕心梗。
其它少见表现
。如不是龋齿引起的牙痛（尤其下牙），不典型的腹痛伴出汗，突然发生的手臂麻木等。
急性心肌梗死哪些患者症状会不典型不明显？
糖尿病患者。得了糖尿病发生心梗的机会倍增，且对痛觉敏感性下降，这主要是糖尿病对神经功能造成了影响。
饮酒后的男性患者。饮酒、饱餐、情绪激动都是心梗的诱因，所以酒后发生心梗本不奇怪，但酒后对疼痛的敏感性下降，很多人发生急性心梗只表现胸口或胃部不舒服，并且吐了，大家以为他只是喝多了，这种最容易耽误事。
老年人（60 周岁以上）。老年人发生急性心肌梗死多数是血管一点一点堵死的，所以之前也总胸口不适，都适应了，症状不是特别明显。
女性患者：研究发现，女性患者的典型胸痛症状少于男性，表明女性发病更具隐匿性，容易误诊漏诊
[5]
。
以上人群要多留心，提高警惕。
急性心肌梗死发病之前有什么征兆？
多数患者在发病数天前可有乏力、胸部不适、气急、胸闷、胸痛的症状
[2]
。
一旦有上述情况，这就是心脏给你发出的警报，应尽快到心内科就诊，必要时做个心脏动脉 CT 或做个心脏动脉造影看看血管有没有狭窄、狭窄多少。做到心中有数，根据情况选择药物或相应的措失预防。"
高脂血症,"高脂血症有哪些表现？
高脂血症的危险之处，就在于它不易被人们觉察。由于血脂异常往往没有症状，却又能够引起心肌梗死、脑中风等严重疾病，故有「沉默杀手」之称。
血脂增高也有一些蛛丝马迹，部分患者在皮肤上可出现黄色瘤，但除眼睑处的黄色瘤易被发现外，其它部位（肌腱、肘、膝、臀或踝部等）的黄色瘤均较隐蔽，不易被察觉
[2,3]
。
高脂血症有哪些危害？
高脂血症若未及时控制，还会进一步发展，并引发其他危害：
心脑血管疾病：高脂血症是动脉粥样硬化的危险因素之一，还可进一步诱发脑梗死，对生命构成严重威胁。
肾脏病变：高脂血症引起肾动脉狭窄，造成肾性高血压、肾功能损害。
脂肪肝：血液中的脂肪过高，会导致大量的脂肪堆积在肝脏，从而发生脂肪肝。
急性胰腺炎：甘油三酯超过正常标准水平，可能会引起急性胰腺炎。
高脂血症会导致血粘度高，引起血液粘稠吗？
血脂高会引起血粘度升高，但血粘度高不一定都是血脂高引起的。如同车多会堵车，但堵车不一定都是由车太多引起的，可能还有天气、路况等因素。
血液中的有形成份增多（如，血细胞增多），都有可能导致血流减慢、血粘度升高。
需要提醒大家的是，很多不良的保健品商家会把「降低血粘度」作为产品的宣传卖点。作为消费者要清楚，很多时候单纯血液粘稠度高并不能说明什么健康问题，「降低血粘稠度」也不一定有健康效果。有不舒服的症状，一定要在正规医院进一步检查、治疗才行。"
低血压,"低血压病有哪些常见症状？
低血压病主要有以下表现
[1]
：
疲乏无力：
尤其是早上，患者常感到精神萎靡不振，四肢酸软无力，经午睡或休息后可好转，但到下午或傍晚又感乏力。这种倦怠感与患者实际工作或活动所消耗的体力不相称，即这种乏力并非都是因疲劳过度所致，可能与神经系统功能紊乱导致过多的肌肉收缩不协调有关。
头痛头晕：
在低血压病的患者中，头痛可以是唯一的主诉，其头痛往往在紧张的脑力或体力活动后较为明显，静止而又负担过重的工作条件下也易发生。
头痛的性质和程度不一，多表现为颞顶区或枕下区隐痛，也可呈剧烈的搏动性疼痛或麻木性疼痛。
头晕轻重不一，轻者两眼发黑，眩晕；重者可以失神，甚至晕厥倒地，常在突然改变体位，尤其是由蹲位突然起立时最易发生。
头痛和头晕可能与血压低致脑灌注不足有关。
心前区隐痛或不适：
低血压病患者心前区隐痛、不适，不仅可在体力劳动或紧张脑力劳动时发作，在安静休息时也可发作，甚至引起心绞痛样发作，尤其多见于 40 岁以上患者。
这种情况不仅见于低血压病合并冠心病的患者，也可能由于血压过低本身导致冠脉供血不足，引起心肌缺氧、缺血而产生上述症状。
神经功能障碍：
可表现为精神萎靡不振，记忆力减退，睡眠障碍和失眠等。
自主神经功能失调可表现为多汗，皮肤苍白或轻度发绀，浑身忽冷忽热，皮肤时有蚁爬感，手脚麻木等。
内分泌功能减退的现象：
主要表现为肾上腺素和去甲肾上腺素一类物质不足，部分患者可能出现血糖降低和性功能衰退。
其他：
还可表现为食欲不振、腹部不适、消化不良，以及红细胞增多、白细胞减少、抵抗力降低易引起感染等征象。
体位性低血压有哪些类型?
体位性低血压分为突发性和继发性两种：
突发性体位性低血压：多因植物神经功能紊乱，引起直立性小动脉收缩功能失调所致。主要表现是突然直立时血压偏低，还可伴有站立不稳、视力模糊、头晕目眩、软弱无力，大小便失禁等，严重时会发生晕厥。
继发性体位性低血压：往往多见于脊髓疾病、性传染病或严重感染（如大叶性肺炎）、内分泌紊乱、慢性营养不良、使用降压药或镇静药之后。临床表现同上。
低血压病有没有生命危险？
多数情况下没有。低血压在平时一般不会引起特殊不适。
但是如果合并其他疾病，如
感染、高热时，就可能因血压过低出现头晕、心慌、晕厥、休克等，从而危及生命。
此外，低血压虽然平时感觉不明显，但也会造成心脑肾等重要脏器的慢性缺血，甚至导致心绞痛、心肌梗死、脑血栓形成等疾病，所以低血压不容忽视。"
心脑血管疾病,"心血管疾病有哪些常见临床表现？
不同疾病类型，临床表现不尽相同，其常见症状有：心悸、气短、呼吸困难、胸痛、胸闷不适、水肿、皮肤发紫、晕厥、咳嗽咯血等。
脑血管疾病有哪些常见临床表现？
不同疾病类型，临床表现不尽相同，其常见症状有：瘫痪、肌肉麻木、头痛、言语不清、意识障碍、视力障碍、恶心呕吐等。"
房颤,"房颤有哪些种类？
房颤可以分为首诊房颤、阵发型房颤、持续型房颤、长期持续性房颤和永久性房颤。
首诊房颤
：即首次检测到的房颤，不管其他特点，可以是后面四种的任何一种。
阵发性房颤
：可以自行终止。通常认为阵发性房颤指能在 7 天内自行转复为窦性心律者，一般持续时间小于 48 小时。
持续性房颤
，发作后不能自行终止，但可经治疗后终止。持续性房颤指一般持续 7 天以上，需要药物或电击才能转复为窦性心律。少数发生过持续性AF的患者可能会在未来出现阵发性房颤。
长期持续性房颤
：持续时间超过 1 年的房颤。
永久性房颤
：持续时间超过 1 年的房颤​，且患者和医生已共同决定不再继续控制心律治疗。
房颤有哪些症状呢？
心悸
：就是感到心跳紊乱或心跳加快，体力疲乏或者劳累；
眩晕
：头晕眼花或者昏倒；
胸部不适
：疼痛、压迫或者不舒服；
气短
：在轻度体力活动或者休息时感觉呼吸困难。
此外有些病人可能没有任何症状。
房颤的危害有哪些？
房颤的危害主要有三个方面：
影响生活质量
：患者出现心悸、胸闷、头晕等症状；
增加血栓栓塞的风险
：可表现为偏瘫（脑卒中）、剧烈腹痛（肠系膜动脉栓塞）及肢体发黑（肢体动脉栓塞）等；房颤时心房有效收缩功能丧失，血流混乱而易形成血栓。若血栓脱落，栓子随血液循环到全身，可引起脑梗塞或体循环栓塞而致残、致死；
导致心脏结构发生变化
：长期房颤可引起心脏扩大，导致或加重心力衰竭；另外，房颤患者心房有效收缩功能丧失和长期心率过快可导致心动过速性心肌病，也可导致心功能下降甚至心力衰竭。"
腰椎间盘突出症,"腰椎间盘突出症有什么症状？
腰痛：少数病人只有腿痛。 活动时加重，卧床休息后常减轻。
腰部活动受限：患者会感觉腰部不能自由活动，尤其是腰部向前屈受限最为明显。
坐骨神经痛：疼痛一般会从下腰部向臀部、大腿后方、小腿外侧直到足部放射，在喷嚏和咳嗽等情况下疼痛会加剧。一般多累及一侧下肢，仅极少数突出者表现为双下肢症状。早期为痛觉过敏，严重者出现感觉迟钝或麻木。
马尾神经受压症状： 主要表现为大、小便障碍，双下肢及会阴部疼痛、感觉减退和麻木。严重者可出现大小便失控及双下肢不完全性瘫痪等症状，较少见。
间歇性跛行：由于腰椎间盘突压迫神经根，造成神经根的充血、水肿等炎性反应和缺血，当行走时，椎管内受阻的椎静脉丛充血，加重了神经根的充血程度和脊髓血管的扩张，同时也加重了对神经根的压迫而引起下肢疼痛，走路一瘸一拐，需要时不时的休息一段时间才能继续行走。
腰椎间盘突出症一定有腰痛症状吗？
不一定。
腰椎间盘突出症患者，可以说绝大多数都有长短不同的腰痛病史，且腰痛是主要症状之一。尽管如此，并非百分之百的腰突症患者都有腰痛症状，其原因可能有以下几方面：
退变引起的腰椎间盘突出症：这种类型的腰突症，一般发病迟缓，病程较长，椎间盘突出逐渐形成，对腰椎周围的组织刺激很小，故可能无腰痛或腰痛不明显。突出的椎间盘逐渐与神经根发生粘连，此时主要以腿痛为主。
高位腰椎间盘突出症：高位置的腰椎间盘突出症（腰 3、4 以上）
[1]
，腰痛出现的比例不是很高。
腰椎间盘突出症恢复期：绝大多数腰椎间盘突出症患者经休息和治疗后，症状基本消除，此时可完全无腰痛症状｡
腰椎间盘突出症为什么会导致腿疼？
这主要是突出的椎间盘压迫了神经，这些神经支配下肢的感觉和运动，所以会引起下肢的疼痛。
这种疼痛的特点为放射痛，可以沿着臀部放射至大腿后侧、小腿外侧或者后外侧，部分病人还可以放射至踝部、足背或者足底，可能伴有肢体麻木、怕凉、无力等症状。
上述疼痛在咳嗽、打喷嚏或者用力大便时可能会加重，平卧休息时可以减轻或者缓解｡
腰椎间盘突出症会导致瘫痪吗？
有导致瘫痪的可能性，但绝大多数腰椎间盘突出症患者，经积极治疗，是不会导致瘫痪的。
腰椎间盘突出症最主要的病理变化是突出的椎间盘对神经根的压迫；如果压迫加重时，可出现神经麻痹、肌肉瘫痪。
这种情况多见于腰 4～5 椎间盘突出，主要表现为足下垂，肌力减弱。
腰椎间盘突出症突出的椎间盘能自行消失或缩小吗？
一般来讲，有一部分人突出的椎间盘能够自行吸收或缩小。
突出的椎间盘大部分和完全被吸收者，一般此类患者年龄较小，发病时间也较短。
如果突出的椎间盘发生钙化、骨化的情况，它就不能被吸收或自己缩小了，该种情况下一般需要手术治疗。"
颈椎病,"颈椎病有哪几种？
国内颈椎病的分型尚未完全统一，一般可以分为 6 种类型
[1,3]
：
颈型颈椎病：是由于颈部肌肉、韧带或者其他组织出现退行性变化，或者平常错误的坐姿、睡姿造成颈部颈椎形状变化，导致颈部的肌肉或者韧带受到压迫。
神经根型颈椎病：最常见，约占 60% ～70％，主要是因为颈椎神经受到压迫。
脊髓型颈椎病：约占 10%～15% ，主要是由于颈部脊髓和血管由于椎骨、椎间盘等发生突出、增生等病理变化，造成脊髓损伤。
椎动脉型颈椎病：约占 2%。主要是由于椎动脉受到压迫或刺激，引起功能失调，脑部供血不足。
交感神经型颈椎病：约占 5%。主要是由于颈部交感神经受压。
混合型颈椎病：以上类型两种及两种以上同时存在。
颈椎病的常见表现有哪些？
在六类颈椎病中，以下四类是最常见的
[1,2]
：
神经根型：主要表现为受压迫的神经根对应区域的疼痛、感觉异常、麻木、活动不灵活，仰头、咳嗽、打喷嚏时症状可加重。治疗及时，大部分患者症状可以得到缓解。
脊髓型：疾病早前早期疾病表现可为单腿或双腿麻木，不加以及时治疗，可发展为行走困难、大小便失禁甚至瘫痪。
交感神经型：症状表现可有多种：
头颈症状：头晕、头痛、颈部麻木、颈部疼痛；
眼部症状：眼睑下垂（下眼皮耷拉）、视物模糊、；
心脏症状：心跳加速或减慢、心口疼；
周围症状：躯干肢体、发麻或疼痛；
耳部症状：耳鸣、耳聋等。
椎动脉型：早期症状一般不明显，症状加重时，只要颈部向某个方向转动一下，当即出现眩晕，甚至感到天旋地转。有时伴有头疼、恶心呕吐、耳鸣、视物不清、突然晕倒等其他症状。
颈椎病为什么会导致脑供血不足？
导致脑供血不足的多是椎动脉型颈椎病，因为椎基底动脉是给脑供血的重要血管。
对于正常人来说：当头向一侧歪曲或扭动时，虽然同侧的椎动脉会受到挤压、导致血流减少，但是对侧的，没有受到挤压的椎动脉可以代偿，也就是血流增加，从而保证供应脑部的血流不受太大的影响。
对于颈椎病患者，病变颈椎的结构没有正常结构的稳固，可造成颈椎骨及关节的错位，还可造成椎间隙狭窄、椎间盘突出，这些异常的病理改变就可以造成椎动脉扭曲并受到挤压使椎动脉的血流出现异常，并且刺激椎动脉周围的交感神经，导致脑供血不足而出现眩晕等症状
[1,2]
。
颈椎病患者会经常落枕吗？
会。颈型颈椎病患者会经常出现落枕，跟颈椎失去稳定性，颈部肌肉劳损明显有关
[3]
。"
骨折,"骨折了，有什么表现？
患者骨折后通常有以下表现：
疼痛：骨折后，患者骨折处会出现剧烈疼痛，若移动骨折处肢体，疼痛会加剧
[2]
；
肿胀：骨折时，周围的组织血管会破裂出血，在骨折的地方形成血肿及软组织损伤导致的水肿，可导致骨折处严重肿胀
[2]
；
功能障碍：肢体不能正常活动；
畸形：骨折端移位，可使肢体外形发生改变，主要表现为短缩、成角或旋转畸形
[2]
；
异常活动：正常情况下肢体不能活动的部位，骨折后会出现异常的活动
[2]
；
骨擦音或骨擦感：骨折后，两骨折端相互摩擦时，可产生骨擦音或骨擦感
[2]
。
一般情况下当受伤部位出现畸形、异常活动、骨擦音时，医生就会初步判断患者发生骨折了。
为什么有的部位骨折了肢体或人还能活动？
骨折分很多类，按照骨折端的稳定程度可分为不稳定骨折和稳定骨折
[3]
。
不稳定骨折是指骨折端容易移位，一般会导致受伤肢体的活动功能丧失。
稳定骨折是指骨折端不易移位，如颅骨、肩胛骨及肢体长骨的裂缝骨折、儿童的青枝骨折
[3]
，由于骨骼大体完整，受伤肢体的活动功能会受到一定影响，但还可以进行抬、伸、行走等活动。
另外，有的股骨颈骨折患者，虽然是完全骨折，但是由于骨折端嵌插连接在一起，患者也还是可以走路的，并且可能并不出现畸形、骨摩擦音或骨擦音、异常活动
[3]
。还有脊柱的压缩性骨折，也是类似原理，有些患者也还是可以站立行走的。
为什么骨折后会出现发热？
骨折后骨骼及软组织受到创伤，局部会有出血，而出血后血液被吸收会引起吸收热，体温一般不超过 38 度。但是，开放性骨折的患者体温升高，可能是由于伴有感染
[2]
。
骨折后肿胀为什么一直不消？
一般来说，骨折部位肢体肿胀的消除要比疼痛慢许多。有许多人，即使是骨折愈合后还会存在骨折部位或肢体末端肿胀，早上轻晚上重。
排除患者自身凝血功能障碍的原因之外，导致出现肿胀的原因主要是骨折会导致髓腔、骨膜下及周围组织血管破裂出血，在骨折处形成血肿，还有就是骨折部位的软组织无菌性炎症
[3]
，在术后 1～2 周需要注意抬高患肢，给予按摩冰敷等治疗
[4]
。
为什么骨折或手术后会口渴口干？
比较严重的骨折，如股骨骨折、骨盆骨折、严重的开放性骨折、多发骨折（多处骨折）等，由于广泛的软组织损伤、大量失血或剧烈疼痛等引起休克（面色苍白、四肢湿冷、昏迷等表现），从而会有口渴的感觉
[2,5]
。
骨折出血、疼痛刺激会造成身体虚弱和水份缺少，口干、口渴是人体过度消耗之后的亢进状态，无需过度担心。
但是对于一般的肢体骨折患者，出现口渴，首先需要进行血糖的检查排除糖尿病。"
韧带损伤,"韧带损伤通常有哪些症状？
韧带损伤的常见症状有局部疼痛肿胀、活动障碍，牵拉韧带时疼痛会加剧。
如果韧带完全断裂，则出现关节不稳，严重者会发生关节脱位，也就是我们日常生活中所说的「脱臼」。
韧带损伤了有什么感觉？
韧带损伤时常伴随着撕裂感，有撕裂声，随后损伤的部位会出现肿胀，淤血等。
比如脚踝扭伤后，扭伤的踝关节外侧多出现淤青、肿胀，压之疼痛的症状。跟腱断裂时大多有特殊感觉，比如短跑时突然发力，倘若断裂，会有种被别人踢了脚后跟的感觉。
韧带损伤常见的有哪几种？
日常生活中，最常见的是踝关节的外侧韧带损伤和膝关节韧带损伤。踝关节韧带损伤大部分采取保守治疗，膝关节韧带损伤多数采用手术治疗。
韧带损伤有什么后遗症？
如果处理不当或者处理不及时，韧带损伤的患者后期可能出现关节不稳定、容易反复脱臼、长期慢性疼痛、关节退行性变（如骨质增生、骨赘、骨刺、关节软骨退化等）、骨性关节炎等后遗症。"
肩周炎,"肩周炎有哪些表现？
活动障碍： 表现为肩关节在各个方向上的活动受限，包括上肢的外展、上举、旋转等动作出现障碍，导致扩胸、梳头、洗脸和穿脱衣服出现困难，这些症状在「冻结肩」中更为明显
[1]
。
疼痛：表现为一侧肩关节无明显外伤而出现疼痛，疼痛可为钝痛或刀割样疼痛，常夜间加重，甚至会痛醒。疼痛可放射至颈、背、前臂及手部。
压痛：多数情况下，患者病变关节及其周围广泛存在压痛点。
肌肉僵硬甚至萎缩：发病早期可出现肌肉僵硬，晚期可能出现废用性萎缩（长期不锻炼导致肌肉萎缩），主要发生在肩部周围肌肉，如三角肌、冈上肌等。"
